collision_datetime,collision_time,accident_year,month,day_of_week,analysis_neighborhood
08/18/2014 12:00:00 AM,,2014,August,Monday,Potrero Hill
09/22/2014 03:34:00 PM,15:34:00,2014,September,Monday,Mission
04/21/2015 05:27:00 PM,17:27:00,2015,April,Tuesday,South of Market
05/18/2008 08:14:00 PM,20:14:00,2008,May,Sunday,Marina
11/08/2008 01:23:00 PM,13:23:00,2008,November,Saturday,Outer Mission
04/27/2009 02:06:00 PM,14:06:00,2009,April,Monday,Mission Bay
10/07/2009 01:46:00 PM,13:46:00,2009,October,Wednesday,South of Market
11/14/2006 08:49:00 AM,08:49:00,2006,November,Tuesday,Mission
10/25/2015 11:30:00 AM,11:30:00,2015,October,Sunday,Haight Ashbury
04/20/2009 03:29:00 PM,15:29:00,2009,April,Monday,Castro/Upper Market
03/03/2005 01:30:00 AM,01:30:00,2005,March,Thursday,Outer Mission
10/16/2006 04:08:00 PM,16:08:00,2006,October,Monday,Sunset/Parkside
02/12/2016 03:58:00 PM,15:58:00,2016,February,Friday,Mission
06/02/2005 08:57:00 PM,20:57:00,2005,June,Thursday,South of Market
01/26/2016 12:00:00 PM,12:00:00,2016,January,Tuesday,Mission
03/19/2016 09:11:00 PM,21:11:00,2016,March,Saturday,Oceanview/Merced/Ingleside
06/23/2016 03:54:00 PM,15:54:00,2016,June,Thursday,Russian Hill
04/12/2013 03:02:00 AM,03:02:00,2013,April,Friday,Western Addition
07/12/2016 07:20:00 PM,19:20:00,2016,July,Tuesday,West of Twin Peaks
09/28/2016 04:52:00 PM,16:52:00,2016,September,Wednesday,Hayes Valley
10/30/2016 01:30:00 PM,13:30:00,2016,October,Sunday,Hayes Valley
07/23/2017 06:42:00 PM,18:42:00,2017,July,Sunday,Financial District/South Beach
01/28/2017 12:56:00 PM,12:56:00,2017,January,Saturday,South of Market
07/25/2017 06:23:00 PM,18:23:00,2017,July,Tuesday,Mission Bay
10/10/2017 08:55:00 AM,08:55:00,2017,October,Tuesday,Golden Gate Park
10/19/2017 11:25:00 PM,23:25:00,2017,October,Thursday,Golden Gate Park
01/23/2012 12:05:00 PM,12:05:00,2012,January,Monday,Tenderloin
12/26/2010 04:20:00 AM,04:20:00,2010,December,Sunday,Bayview Hunters Point
12/18/2017 08:25:00 AM,08:25:00,2017,December,Monday,North Beach
11/21/2006 07:40:00 AM,07:40:00,2006,November,Tuesday,Lakeshore
01/15/2006 08:00:00 PM,20:00:00,2006,January,Sunday,Outer Mission
05/19/2018 07:26:00 PM,19:26:00,2018,May,Saturday,Japantown
05/22/2018 06:04:00 PM,18:04:00,2018,May,Tuesday,Pacific Heights
07/23/2017 04:32:00 PM,16:32:00,2017,July,Sunday,Western Addition
08/13/2018 08:15:00 AM,08:15:00,2018,August,Monday,Financial District/South Beach
01/05/2016 09:20:00 AM,09:20:00,2016,January,Tuesday,Russian Hill
07/01/2012 05:17:00 PM,17:17:00,2012,July,Sunday,South of Market
04/22/2007 07:25:00 PM,19:25:00,2007,April,Sunday,Bayview Hunters Point
02/18/2013 04:54:00 PM,16:54:00,2013,February,Monday,South of Market
12/14/2018 10:10:00 AM,10:10:00,2018,December,Friday,Mission Bay
04/19/2012 07:48:00 AM,07:48:00,2012,April,Thursday,Mission
05/24/2013 03:49:00 PM,15:49:00,2013,May,Friday,Marina
06/12/2012 02:11:00 PM,14:11:00,2012,June,Tuesday,Bernal Heights
10/26/2005 09:42:00 AM,09:42:00,2005,October,Wednesday,Financial District/South Beach
09/19/2006 07:46:00 AM,07:46:00,2006,September,Tuesday,West of Twin Peaks
04/13/2011 07:48:00 PM,19:48:00,2011,April,Wednesday,Mission
07/07/2005 01:30:00 PM,13:30:00,2005,July,Thursday,Mission
06/27/2009 04:55:00 PM,16:55:00,2009,June,Saturday,Lakeshore
11/23/2014 02:40:00 PM,14:40:00,2014,November,Sunday,Inner Sunset
04/12/2019 04:36:00 PM,16:36:00,2019,April,Friday,Visitacion Valley
09/21/2015 03:20:00 PM,15:20:00,2015,September,Monday,Outer Richmond
08/31/2005 01:35:00 PM,13:35:00,2005,August,Wednesday,South of Market
06/27/2019 07:50:00 AM,07:50:00,2019,June,Thursday,Potrero Hill
05/16/2006 12:46:00 PM,12:46:00,2006,May,Tuesday,Outer Richmond
12/30/2006 01:28:00 PM,13:28:00,2006,December,Saturday,Outer Richmond
07/15/2019 09:10:00 AM,09:10:00,2019,July,Monday,Haight Ashbury
06/29/2008 03:30:00 AM,03:30:00,2008,June,Sunday,Mission
10/10/2006 01:44:00 PM,13:44:00,2006,October,Tuesday,Financial District/South Beach
04/04/2010 09:40:00 PM,21:40:00,2010,April,Sunday,Sunset/Parkside
07/11/2019 06:25:00 PM,18:25:00,2019,July,Thursday,Haight Ashbury
04/22/2017 05:45:00 PM,17:45:00,2017,April,Saturday,Mission
08/10/2017 09:25:00 AM,09:25:00,2017,August,Thursday,Nob Hill
05/15/2016 01:30:00 PM,13:30:00,2016,May,Sunday,Tenderloin
02/11/2005 02:15:00 PM,14:15:00,2005,February,Friday,Outer Mission
07/09/2007 03:14:00 PM,15:14:00,2007,July,Monday,Bayview Hunters Point
05/29/2022 09:40:00 AM,09:40:00,2022,May,Sunday,Castro/Upper Market
12/07/2020 07:55:00 AM,07:55:00,2020,December,Monday,Haight Ashbury
10/24/2008 04:20:00 PM,16:20:00,2008,October,Friday,Castro/Upper Market
01/16/2016 09:34:00 AM,09:34:00,2016,January,Saturday,Excelsior
05/24/2019 02:05:00 PM,14:05:00,2019,May,Friday,Russian Hill
05/21/2008 11:44:00 PM,23:44:00,2008,May,Wednesday,Bayview Hunters Point
04/18/2021 05:11:00 PM,17:11:00,2021,April,Sunday,Bernal Heights
06/23/2019 10:30:00 AM,10:30:00,2019,June,Sunday,Western Addition
08/18/2021 05:28:00 AM,05:28:00,2021,August,Wednesday,Financial District/South Beach
12/05/2023 07:56:00 PM,19:56:00,2023,December,Tuesday,Lakeshore
10/15/2021 01:50:00 PM,13:50:00,2021,October,Friday,Mission
06/14/2014 09:30:00 AM,09:30:00,2014,June,Saturday,Sunset/Parkside
10/08/2016 04:15:00 PM,16:15:00,2016,October,Saturday,Lone Mountain/USF
10/25/2016 07:26:00 AM,07:26:00,2016,October,Tuesday,Lakeshore
04/05/2017 10:15:00 PM,22:15:00,2017,April,Wednesday,Tenderloin
01/22/2016 07:16:00 PM,19:16:00,2016,January,Friday,Sunset/Parkside
04/10/2019 10:00:00 PM,22:00:00,2019,April,Wednesday,Mission
08/08/2024 07:45:00 AM,07:45:00,2024,August,Thursday,
08/22/2014 09:04:00 PM,21:04:00,2014,August,Friday,Mission
02/11/2016 08:40:00 AM,08:40:00,2016,February,Thursday,Hayes Valley
08/13/2017 03:40:00 PM,15:40:00,2017,August,Sunday,Hayes Valley
09/08/2019 02:00:00 PM,14:00:00,2019,September,Sunday,Inner Sunset
10/29/2019 08:46:00 AM,08:46:00,2019,October,Tuesday,Tenderloin
11/01/2019 12:57:00 PM,12:57:00,2019,November,Friday,Hayes Valley
12/17/2015 06:00:00 PM,18:00:00,2015,December,Thursday,North Beach
12/31/2007 06:15:00 PM,18:15:00,2007,December,Monday,Inner Richmond
03/06/2007 04:50:00 PM,16:50:00,2007,March,Tuesday,Mission Bay
01/13/2008 03:51:00 PM,15:51:00,2008,January,Sunday,West of Twin Peaks
02/26/2015 10:06:00 AM,10:06:00,2015,February,Thursday,South of Market
04/23/2005 01:55:00 AM,01:55:00,2005,April,Saturday,Chinatown
07/05/2005 12:55:00 AM,00:55:00,2005,July,Tuesday,West of Twin Peaks
07/06/2020 05:52:00 PM,17:52:00,2020,July,Monday,Marina
11/04/2020 11:36:00 AM,11:36:00,2020,November,Wednesday,Financial District/South Beach
05/22/2021 09:15:00 AM,09:15:00,2021,May,Saturday,Sunset/Parkside
12/17/2014 10:00:00 PM,22:00:00,2014,December,Wednesday,Western Addition
06/12/2021 02:38:00 PM,14:38:00,2021,June,Saturday,Castro/Upper Market
04/24/2017 10:45:00 AM,10:45:00,2017,April,Monday,Hayes Valley
06/03/2022 01:54:00 AM,01:54:00,2022,June,Friday,Mission
02/17/2013 07:00:00 AM,07:00:00,2013,February,Sunday,Golden Gate Park
09/27/2020 07:10:00 PM,19:10:00,2020,September,Sunday,Castro/Upper Market
09/01/2019 05:20:00 PM,17:20:00,2019,September,Sunday,Castro/Upper Market
06/20/2017 01:30:00 PM,13:30:00,2017,June,Tuesday,Presidio Heights
05/27/2014 06:14:00 PM,18:14:00,2014,May,Tuesday,Chinatown
11/15/2014 10:35:00 AM,10:35:00,2014,November,Saturday,Sunset/Parkside
09/22/2010 09:35:00 AM,09:35:00,2010,September,Wednesday,Potrero Hill
07/27/2008 09:00:00 PM,21:00:00,2008,July,Sunday,Noe Valley
07/22/2015 09:30:00 PM,21:30:00,2015,July,Wednesday,Bernal Heights
07/24/2008 01:35:00 PM,13:35:00,2008,July,Thursday,Russian Hill
08/12/2015 06:10:00 PM,18:10:00,2015,August,Wednesday,Pacific Heights
06/05/2009 08:48:00 AM,08:48:00,2009,June,Friday,Noe Valley
08/01/2009 05:45:00 PM,17:45:00,2009,August,Saturday,Sunset/Parkside
07/01/2009 05:20:00 PM,17:20:00,2009,July,Wednesday,Noe Valley
10/05/2009 05:30:00 AM,05:30:00,2009,October,Monday,Golden Gate Park
02/28/2010 02:36:00 AM,02:36:00,2010,February,Sunday,Castro/Upper Market
03/04/2010 06:54:00 PM,18:54:00,2010,March,Thursday,South of Market
05/12/2010 06:37:00 PM,18:37:00,2010,May,Wednesday,Hayes Valley
05/27/2010 11:31:00 AM,11:31:00,2010,May,Thursday,Bayview Hunters Point
07/01/2010 07:05:00 PM,19:05:00,2010,July,Thursday,Financial District/South Beach
06/05/2010 02:13:00 PM,14:13:00,2010,June,Saturday,Hayes Valley
09/19/2010 11:39:00 AM,11:39:00,2010,September,Sunday,Outer Mission
02/07/2011 04:38:00 PM,16:38:00,2011,February,Monday,Excelsior
03/13/2008 04:15:00 PM,16:15:00,2008,March,Thursday,Bernal Heights
02/14/2011 06:22:00 PM,18:22:00,2011,February,Monday,Mission
10/10/2016 02:52:00 PM,14:52:00,2016,October,Monday,
05/16/2011 12:56:00 PM,12:56:00,2011,May,Monday,Mission
06/24/2011 02:41:00 PM,14:41:00,2011,June,Friday,Financial District/South Beach
08/28/2011 04:54:00 PM,16:54:00,2011,August,Sunday,South of Market
08/24/2011 03:26:00 PM,15:26:00,2011,August,Wednesday,Tenderloin
09/20/2011 09:00:00 PM,21:00:00,2011,September,Tuesday,Inner Sunset
02/23/2019 11:00:00 AM,11:00:00,2019,February,Saturday,Hayes Valley
03/09/2012 05:28:00 PM,17:28:00,2012,March,Friday,Mission
04/05/2012 05:06:00 PM,17:06:00,2012,April,Thursday,Mission
05/24/2012 03:30:00 PM,15:30:00,2012,May,Thursday,Financial District/South Beach
10/18/2012 10:16:00 PM,22:16:00,2012,October,Thursday,Western Addition
04/18/2021 01:08:00 PM,13:08:00,2021,April,Sunday,Inner Sunset
11/04/2012 04:30:00 PM,16:30:00,2012,November,Sunday,Haight Ashbury
01/16/2023 06:14:00 AM,06:14:00,2023,January,Monday,Mission
03/24/2024 12:24:00 PM,12:24:00,2024,March,Sunday,Mission
09/01/2021 05:55:00 PM,17:55:00,2021,September,Wednesday,South of Market
05/17/2020 03:44:00 PM,15:44:00,2020,May,Sunday,Bayview Hunters Point
11/25/2020 04:49:00 PM,16:49:00,2020,November,Wednesday,Potrero Hill
01/09/2023 11:29:00 PM,23:29:00,2023,January,Monday,South of Market
09/26/2023 05:20:00 PM,17:20:00,2023,September,Tuesday,Castro/Upper Market
12/30/2020 04:12:00 PM,16:12:00,2020,December,Wednesday,Mission
04/03/2021 03:59:00 PM,15:59:00,2021,April,Saturday,Russian Hill
06/12/2021 01:01:00 PM,13:01:00,2021,June,Saturday,Mission
07/06/2021 06:30:00 PM,18:30:00,2021,July,Tuesday,Bayview Hunters Point
09/26/2021 09:27:00 PM,21:27:00,2021,September,Sunday,Inner Richmond
04/30/2024 12:19:00 PM,12:19:00,2024,April,Tuesday,Mission
07/19/2024 09:57:00 PM,21:57:00,2024,July,Friday,Castro/Upper Market
03/05/2018 06:38:00 PM,18:38:00,2018,March,Monday,Castro/Upper Market
07/22/2024 02:24:00 PM,14:24:00,2024,July,Monday,Nob Hill
09/22/2018 02:48:00 PM,14:48:00,2018,September,Saturday,Russian Hill
10/04/2024 09:22:00 AM,09:22:00,2024,October,Friday,Mission
10/05/2014 12:45:00 PM,12:45:00,2014,October,Sunday,
07/16/2019 05:15:00 PM,17:15:00,2019,July,Tuesday,Portola
09/07/2007 08:47:00 AM,08:47:00,2007,September,Friday,Presidio Heights
01/20/2023 03:45:00 PM,15:45:00,2023,January,Friday,Excelsior
06/04/2016 02:00:00 PM,14:00:00,2016,June,Saturday,Golden Gate Park
08/28/2018 05:30:00 AM,05:30:00,2018,August,Tuesday,Hayes Valley
06/23/2013 07:31:00 PM,19:31:00,2013,June,Sunday,Nob Hill
01/14/2023 05:30:00 PM,17:30:00,2023,January,Saturday,Bayview Hunters Point
02/14/2024 07:12:00 PM,19:12:00,2024,February,Wednesday,Marina
08/30/2006 08:00:00 AM,08:00:00,2006,August,Wednesday,Marina
12/17/2007 05:45:00 PM,17:45:00,2007,December,Monday,Golden Gate Park
01/18/2020 09:53:00 AM,09:53:00,2020,January,Saturday,Bayview Hunters Point
06/13/2006 08:42:00 AM,08:42:00,2006,June,Tuesday,Japantown
05/30/2015 07:01:00 PM,19:01:00,2015,May,Saturday,Sunset/Parkside
09/30/2007 01:16:00 PM,13:16:00,2007,September,Sunday,Financial District/South Beach
12/21/2017 01:30:00 PM,13:30:00,2017,December,Thursday,Financial District/South Beach
04/03/2015 02:39:00 PM,14:39:00,2015,April,Friday,Bayview Hunters Point
09/12/2005 07:50:00 AM,07:50:00,2005,September,Monday,Excelsior
12/07/2014 12:23:00 PM,12:23:00,2014,December,Sunday,Russian Hill
12/19/2019 11:36:00 AM,11:36:00,2019,December,Thursday,Sunset/Parkside
12/19/2023 08:05:00 AM,08:05:00,2023,December,Tuesday,Bayview Hunters Point
10/21/2017 10:44:00 AM,10:44:00,2017,October,Saturday,Lone Mountain/USF
10/30/2020 05:39:00 PM,17:39:00,2020,October,Friday,Bernal Heights
07/01/2023 06:43:00 AM,06:43:00,2023,July,Saturday,South of Market
11/22/2022 05:08:00 PM,17:08:00,2022,November,Tuesday,Mission
10/04/2013 02:10:00 PM,14:10:00,2013,October,Friday,West of Twin Peaks
03/25/2020 03:08:00 PM,15:08:00,2020,March,Wednesday,Mission
09/13/2014 03:06:00 AM,03:06:00,2014,September,Saturday,Western Addition
10/30/2015 02:44:00 AM,02:44:00,2015,October,Friday,Lone Mountain/USF
09/07/2013 04:23:00 PM,16:23:00,2013,September,Saturday,Inner Sunset
12/12/2007 01:00:00 PM,13:00:00,2007,December,Wednesday,Mission
03/28/2023 05:58:00 PM,17:58:00,2023,March,Tuesday,Financial District/South Beach
08/19/2019 03:08:00 PM,15:08:00,2019,August,Monday,Bayview Hunters Point
09/02/2006 12:00:00 PM,12:00:00,2006,September,Saturday,South of Market
05/15/2015 07:10:00 AM,07:10:00,2015,May,Friday,Western Addition
05/01/2019 12:45:00 PM,12:45:00,2019,May,Wednesday,Haight Ashbury
04/23/2013 08:05:00 AM,08:05:00,2013,April,Tuesday,Mission
08/14/2007 03:13:00 AM,03:13:00,2007,August,Tuesday,Outer Mission
01/19/2017 10:10:00 AM,10:10:00,2017,January,Thursday,Tenderloin
06/05/2012 06:41:00 AM,06:41:00,2012,June,Tuesday,Western Addition
02/16/2013 03:03:00 PM,15:03:00,2013,February,Saturday,Excelsior
10/29/2018 05:30:00 PM,17:30:00,2018,October,Monday,Outer Mission
12/08/2019 06:35:00 AM,06:35:00,2019,December,Sunday,Bernal Heights
03/04/2014 07:08:00 PM,19:08:00,2014,March,Tuesday,Tenderloin
10/10/2007 09:17:00 AM,09:17:00,2007,October,Wednesday,Haight Ashbury
07/16/2013 09:10:00 PM,21:10:00,2013,July,Tuesday,Bayview Hunters Point
07/20/2013 03:14:00 PM,15:14:00,2013,July,Saturday,Sunset/Parkside
11/04/2022 06:18:00 AM,06:18:00,2022,November,Friday,Tenderloin
04/10/2012 09:10:00 PM,21:10:00,2012,April,Tuesday,Haight Ashbury
03/13/2015 03:42:00 PM,15:42:00,2015,March,Friday,Oceanview/Merced/Ingleside
01/03/2008 08:46:00 PM,20:46:00,2008,January,Thursday,Marina
08/31/2022 05:36:00 AM,05:36:00,2022,August,Wednesday,Golden Gate Park
06/26/2024 08:04:00 AM,08:04:00,2024,June,Wednesday,Tenderloin
11/18/2013 06:24:00 PM,18:24:00,2013,November,Monday,Lone Mountain/USF
01/19/2024 06:32:00 PM,18:32:00,2024,January,Friday,Bayview Hunters Point
08/03/2019 02:21:00 AM,02:21:00,2019,August,Saturday,South of Market
12/06/2007 03:00:00 PM,15:00:00,2007,December,Thursday,Bayview Hunters Point
10/04/2007 03:45:00 PM,15:45:00,2007,October,Thursday,Castro/Upper Market
08/21/2024 04:49:00 PM,16:49:00,2024,August,Wednesday,Tenderloin
01/13/2008 09:15:00 AM,09:15:00,2008,January,Sunday,Chinatown
10/12/2023 10:00:00 AM,10:00:00,2023,October,Thursday,Bayview Hunters Point
08/05/2023 04:00:00 PM,16:00:00,2023,August,Saturday,Lone Mountain/USF
12/10/2019 08:23:00 AM,08:23:00,2019,December,Tuesday,Castro/Upper Market
04/21/2020 07:19:00 PM,19:19:00,2020,April,Tuesday,Bayview Hunters Point
09/11/2023 03:18:00 PM,15:18:00,2023,September,Monday,Marina
11/01/2022 06:56:00 AM,06:56:00,2022,November,Tuesday,Mission
07/29/2020 01:30:00 PM,13:30:00,2020,July,Wednesday,Mission
07/08/2005 05:40:00 PM,17:40:00,2005,July,Friday,Tenderloin
03/11/2008 09:58:00 AM,09:58:00,2008,March,Tuesday,Outer Richmond
06/09/2023 11:05:00 AM,11:05:00,2023,June,Friday,Bayview Hunters Point
10/11/2024 03:55:00 PM,15:55:00,2024,October,Friday,Seacliff
01/25/2024 05:50:00 PM,17:50:00,2024,January,Thursday,Tenderloin
01/22/2012 04:01:00 PM,16:01:00,2012,January,Sunday,South of Market
08/21/2019 07:10:00 AM,07:10:00,2019,August,Wednesday,Hayes Valley
12/17/2022 01:26:00 PM,13:26:00,2022,December,Saturday,Golden Gate Park
06/21/2008 06:58:00 PM,18:58:00,2008,June,Saturday,Excelsior
11/15/2020 12:46:00 AM,00:46:00,2020,November,Sunday,Bayview Hunters Point
09/30/2012 02:56:00 PM,14:56:00,2012,September,Sunday,West of Twin Peaks
08/14/2019 04:55:00 PM,16:55:00,2019,August,Wednesday,South of Market
04/17/2012 07:49:00 PM,19:49:00,2012,April,Tuesday,Mission
08/12/2005 04:14:00 PM,16:14:00,2005,August,Friday,Mission
02/09/2015 04:30:00 PM,16:30:00,2015,February,Monday,Sunset/Parkside
02/09/2013 09:37:00 AM,09:37:00,2013,February,Saturday,Mission Bay
09/25/2017 05:55:00 PM,17:55:00,2017,September,Monday,Nob Hill
08/17/2019 11:48:00 AM,11:48:00,2019,August,Saturday,Bayview Hunters Point
10/14/2012 05:12:00 PM,17:12:00,2012,October,Sunday,Bayview Hunters Point
01/23/2021 06:10:00 PM,18:10:00,2021,January,Saturday,Outer Richmond
12/07/2015 01:00:00 PM,13:00:00,2015,December,Monday,Inner Sunset
01/13/2017 05:54:00 AM,05:54:00,2017,January,Friday,South of Market
08/19/2020 04:35:00 PM,16:35:00,2020,August,Wednesday,Golden Gate Park
04/21/2013 01:56:00 PM,13:56:00,2013,April,Sunday,Sunset/Parkside
07/17/2022 02:00:00 AM,02:00:00,2022,July,Sunday,Golden Gate Park
01/03/2012 08:10:00 AM,08:10:00,2012,January,Tuesday,Bayview Hunters Point
01/19/2024 06:53:00 PM,18:53:00,2024,January,Friday,Inner Sunset
09/21/2022 11:54:00 AM,11:54:00,2022,September,Wednesday,Mission
10/23/2015 05:34:00 PM,17:34:00,2015,October,Friday,Japantown
10/18/2022 01:40:00 PM,13:40:00,2022,October,Tuesday,Golden Gate Park
04/11/2013 08:51:00 AM,08:51:00,2013,April,Thursday,Japantown
07/05/2017 07:59:00 AM,07:59:00,2017,July,Wednesday,Financial District/South Beach
03/20/2023 05:59:00 PM,17:59:00,2023,March,Monday,Western Addition
09/21/2007 02:36:00 PM,14:36:00,2007,September,Friday,Financial District/South Beach
11/16/2022 10:34:00 PM,22:34:00,2022,November,Wednesday,South of Market
07/20/2019 02:24:00 PM,14:24:00,2019,July,Saturday,Golden Gate Park
08/07/2024 10:52:00 AM,10:52:00,2024,August,Wednesday,Sunset/Parkside
05/13/2014 01:33:00 PM,13:33:00,2014,May,Tuesday,Russian Hill
05/20/2020 04:12:00 PM,16:12:00,2020,May,Wednesday,Bayview Hunters Point
08/12/2023 11:50:00 AM,11:50:00,2023,August,Saturday,Mission
10/17/2021 03:30:00 PM,15:30:00,2021,October,Sunday,Excelsior
01/28/2024 11:50:00 PM,23:50:00,2024,January,Sunday,Chinatown
11/12/2007 09:40:00 AM,09:40:00,2007,November,Monday,Pacific Heights
10/03/2022 10:54:00 PM,22:54:00,2022,October,Monday,South of Market
10/22/2012 03:27:00 PM,15:27:00,2012,October,Monday,South of Market
09/08/2008 09:57:00 AM,09:57:00,2008,September,Monday,Potrero Hill
10/22/2020 06:20:00 PM,18:20:00,2020,October,Thursday,Tenderloin
03/08/2023 03:53:00 PM,15:53:00,2023,March,Wednesday,Western Addition
07/22/2023 06:04:00 PM,18:04:00,2023,July,Saturday,Russian Hill
12/14/2022 05:13:00 PM,17:13:00,2022,December,Wednesday,Mission
01/14/2015 02:42:00 PM,14:42:00,2015,January,Wednesday,Mission
03/07/2016 05:43:00 PM,17:43:00,2016,March,Monday,Oceanview/Merced/Ingleside
10/27/2022 06:29:00 PM,18:29:00,2022,October,Thursday,South of Market
12/19/2022 03:30:00 AM,03:30:00,2022,December,Monday,Outer Mission
07/10/2020 06:55:00 PM,18:55:00,2020,July,Friday,Bernal Heights
09/25/2007 11:02:00 AM,11:02:00,2007,September,Tuesday,Western Addition
12/24/2022 01:33:00 AM,01:33:00,2022,December,Saturday,Mission
02/17/2017 02:34:00 PM,14:34:00,2017,February,Friday,Russian Hill
10/10/2005 08:10:00 AM,08:10:00,2005,October,Monday,Noe Valley
02/07/2017 03:25:00 PM,15:25:00,2017,February,Tuesday,West of Twin Peaks
09/19/2019 02:30:00 PM,14:30:00,2019,September,Thursday,Bayview Hunters Point
09/19/2023 03:43:00 PM,15:43:00,2023,September,Tuesday,Inner Richmond
08/07/2019 09:28:00 AM,09:28:00,2019,August,Wednesday,Financial District/South Beach
03/07/2023 02:40:00 PM,14:40:00,2023,March,Tuesday,Potrero Hill
08/04/2019 03:20:00 AM,03:20:00,2019,August,Sunday,Mission
05/27/2020 12:46:00 PM,12:46:00,2020,May,Wednesday,Golden Gate Park
03/29/2023 08:15:00 AM,08:15:00,2023,March,Wednesday,Pacific Heights
12/13/2007 09:10:00 AM,09:10:00,2007,December,Thursday,Nob Hill
07/11/2023 03:45:00 PM,15:45:00,2023,July,Tuesday,Mission
04/01/2023 08:05:00 PM,20:05:00,2023,April,Saturday,Financial District/South Beach
06/15/2013 12:45:00 AM,00:45:00,2013,June,Saturday,Excelsior
07/14/2013 09:55:00 AM,09:55:00,2013,July,Sunday,South of Market
12/28/2019 09:15:00 AM,09:15:00,2019,December,Saturday,Bayview Hunters Point
09/13/2005 01:50:00 PM,13:50:00,2005,September,Tuesday,Bernal Heights
11/29/2022 09:50:00 PM,21:50:00,2022,November,Tuesday,Excelsior
02/03/2018 12:36:00 PM,12:36:00,2018,February,Saturday,Outer Richmond
01/19/2024 06:13:00 PM,18:13:00,2024,January,Friday,Financial District/South Beach
01/07/2024 11:25:00 AM,11:25:00,2024,January,Sunday,Bayview Hunters Point
11/09/2014 02:19:00 PM,14:19:00,2014,November,Sunday,Lone Mountain/USF
12/04/2017 02:10:00 AM,02:10:00,2017,December,Monday,Western Addition
11/05/2007 02:32:00 PM,14:32:00,2007,November,Monday,Mission
10/04/2022 03:42:00 PM,15:42:00,2022,October,Tuesday,Hayes Valley
08/12/2019 05:07:00 PM,17:07:00,2019,August,Monday,Excelsior
10/17/2022 02:42:00 PM,14:42:00,2022,October,Monday,Mission
11/20/2019 08:03:00 PM,20:03:00,2019,November,Wednesday,Inner Sunset
12/08/2012 09:54:00 AM,09:54:00,2012,December,Saturday,West of Twin Peaks
09/09/2014 02:45:00 PM,14:45:00,2014,September,Tuesday,Tenderloin
05/20/2020 07:54:00 PM,19:54:00,2020,May,Wednesday,Outer Richmond
10/18/2014 09:30:00 AM,09:30:00,2014,October,Saturday,Haight Ashbury
08/03/2020 08:24:00 PM,20:24:00,2020,August,Monday,South of Market
09/12/2005 10:00:00 AM,10:00:00,2005,September,Monday,Pacific Heights
12/16/2022 04:07:00 PM,16:07:00,2022,December,Friday,Japantown
11/17/2019 04:18:00 AM,04:18:00,2019,November,Sunday,Excelsior
05/21/2005 09:25:00 AM,09:25:00,2005,May,Saturday,Visitacion Valley
03/11/2023 01:50:00 PM,13:50:00,2023,March,Saturday,Mission
